word,n,prob
15,57,1.740957709999206e-4
15'000,1,3.0543117719284313e-6
150,17,5.192330012278333e-5
1500,8,2.443449417542745e-5
1525,1,3.0543117719284313e-6
1531,2,6.1086235438568626e-6
159,2,6.1086235438568626e-6
1599,1,3.0543117719284313e-6
16,34,1.0384660024556667e-4
"16,52",1,3.0543117719284313e-6
160,2,6.1086235438568626e-6
1600,1,3.0543117719284313e-6
1641,1,3.0543117719284313e-6
1670,1,3.0543117719284313e-6
168,1,3.0543117719284313e-6
17,29,8.857504138592451e-5
170,8,2.443449417542745e-5
171,1,3.0543117719284313e-6
1732,1,3.0543117719284313e-6
1741,1,3.0543117719284313e-6
175,2,6.1086235438568626e-6
176,2,6.1086235438568626e-6
177,1,3.0543117719284313e-6
1789,1,3.0543117719284313e-6
1793,1,3.0543117719284313e-6
1797,1,3.0543117719284313e-6
18,27,8.246641784206765e-5
180,5,1.5271558859642157e-5
1800,2,6.1086235438568626e-6
1808,1,3.0543117719284313e-6
1834,1,3.0543117719284313e-6
1845,1,3.0543117719284313e-6
1850,1,3.0543117719284313e-6
186,2,6.1086235438568626e-6
1869,1,3.0543117719284313e-6
1880,2,6.1086235438568626e-6
1896,1,3.0543117719284313e-6
1897,1,3.0543117719284313e-6
1898,2,6.1086235438568626e-6
19,31,9.468366492978138e-5
1900,1,3.0543117719284313e-6
1902,1,3.0543117719284313e-6
1909,1,3.0543117719284313e-6
1913,1,3.0543117719284313e-6
1914,1,3.0543117719284313e-6
1917,1,3.0543117719284313e-6
1919,2,6.1086235438568626e-6
1920er,2,6.1086235438568626e-6
1923,1,3.0543117719284313e-6
1924,2,6.1086235438568626e-6
1929,1,3.0543117719284313e-6
193,1,3.0543117719284313e-6
1930er,1,3.0543117719284313e-6
1931,2,6.1086235438568626e-6
1939,1,3.0543117719284313e-6
1940,1,3.0543117719284313e-6
1943,1,3.0543117719284313e-6
1944,1,3.0543117719284313e-6
1945,3,9.162935315785295e-6
1947,3,9.162935315785295e-6
1948,1,3.0543117719284313e-6
