word,n,prob
14'600,1,1.750902590285292e-6
14'986,1,1.750902590285292e-6
140,8,1.4007220722282336e-5
140'000,3,5.2527077708558765e-6
1400,1,1.750902590285292e-6
141,2,3.501805180570584e-6
1418,1,1.750902590285292e-6
142,1,1.750902590285292e-6
143,2,3.501805180570584e-6
1431,1,1.750902590285292e-6
144,2,3.501805180570584e-6
144'000,1,1.750902590285292e-6
144'500,2,3.501805180570584e-6
1440,1,1.750902590285292e-6
145,2,3.501805180570584e-6
146,1,1.750902590285292e-6
147,1,1.750902590285292e-6
149,1,1.750902590285292e-6
15,195,3.4142600510563193e-4
15.00,1,1.750902590285292e-6
15.10,1,1.750902590285292e-6
15.24,1,1.750902590285292e-6
15.32,1,1.750902590285292e-6
15'000,12,2.1010831083423506e-5
15'413,1,1.750902590285292e-6
150,30,5.2527077708558765e-5
150'000,5,8.75451295142646e-6
1500,8,1.4007220722282336e-5
1500m2,1,1.750902590285292e-6
1502,1,1.750902590285292e-6
153,1,1.750902590285292e-6
154,2,3.501805180570584e-6
155,2,3.501805180570584e-6
1555,1,1.750902590285292e-6
156,2,3.501805180570584e-6
157,3,5.2527077708558765e-6
158,2,3.501805180570584e-6
16,148,2.591335833622232e-4
16.15,1,1.750902590285292e-6
16.30,1,1.750902590285292e-6
16'000,7,1.2256318131997045e-5
16'659,1,1.750902590285292e-6
16'800,1,1.750902590285292e-6
160,6,1.0505415541711753e-5
160'000,1,1.750902590285292e-6
160'500,1,1.750902590285292e-6
1600,7,1.2256318131997045e-5
162,3,5.2527077708558765e-6
164,1,1.750902590285292e-6
166,1,1.750902590285292e-6
17,152,2.661371937233644e-4
"17,4",1,1.750902590285292e-6
17'000,2,3.501805180570584e-6
170,12,2.1010831083423506e-5
170'000,4,7.003610361141168e-6
1700,3,5.2527077708558765e-6
173,1,1.750902590285292e-6
174,1,1.750902590285292e-6
175,3,5.2527077708558765e-6
1754,1,1.750902590285292e-6
176,3,5.2527077708558765e-6
177,2,3.501805180570584e-6
178,1,1.750902590285292e-6
179,1,1.750902590285292e-6
18,158,2.766426092650762e-4
"18,5",1,1.750902590285292e-6
"18,8",1,1.750902590285292e-6
18.05,1,1.750902590285292e-6
18.30,1,1.750902590285292e-6
18.90,1,1.750902590285292e-6
18'000,7,1.2256318131997045e-5
180,6,1.0505415541711753e-5
180'000,1,1.750902590285292e-6
1800,4,7.003610361141168e-6
181,1,1.750902590285292e-6
1812,1,1.750902590285292e-6
1832,1,1.750902590285292e-6
1836,2,3.501805180570584e-6
184,1,1.750902590285292e-6
1856,1,1.750902590285292e-6
186,3,5.2527077708558765e-6
186'000,2,3.501805180570584e-6
187,1,1.750902590285292e-6
187'000,1,1.750902590285292e-6
1898,1,1.750902590285292e-6
18c,1,1.750902590285292e-6
19,142,2.486281678205115e-4
19.00,5,8.75451295142646e-6
19.20,1,1.750902590285292e-6
19.30,1,1.750902590285292e-6
19.45,1,1.750902590285292e-6
19.9.19,1,1.750902590285292e-6
19.90,1,1.750902590285292e-6
19'000,2,3.501805180570584e-6
190,14,2.451263626399409e-5
190'000,1,1.750902590285292e-6
1900,6,1.0505415541711753e-5
191,1,1.750902590285292e-6
1912,1,1.750902590285292e-6
1914,1,1.750902590285292e-6
1917,2,3.501805180570584e-6
1918,1,1.750902590285292e-6
